《转型期我国中小企业发展的若干问题研究》池仁勇 林汉川 等 著

目录
前言

第一篇我国转型期中小企业发展若干理论问题研究
第一章  产业集群结构、适应能力与升级路径
第一节 集群升级及其路径概念
第二节 集群结构及度量指标  
第三节 浙江省产业集群结构类型与集群适应能力现状分析  
第四节 典型集群适应能力升级路径  
第五节 主要研究结论及政策性建议

第二章  行业集聚度、集聚结构类型与技术进步的动态关系
第一节  理论梳理
第二节  行业集聚与技术进步的关系
第三节  行业集聚结构与技术进步
第四节  行业集聚与技术进步的动态分析
第五节  结论 

第三章  企业集群的进化规则与适应度模拟
第一节  相关理论综述
第二节  企业集群类型与适应性进化原理
第三节  企业集群NK模型构建与数据模拟
第四节  企业集群发展政策建议

第四章  信息源与企业创新行为的关系研究：基于浙江省高新技术企业
第一节 信息源及其评价
第二节 企业对信息源的动态选择
第三节 信息源对创新决策的影响
第四节 结论与建议

第五章  社会资本、融资结网与企业间风险传梁：浙江案例研究
第一节 理论回顾与研究假说
第二节 研究方法
第三节 案例分析与讨论
第四节 结论

第六章 区域中小企业创新网络形成、结构属性与功能提升：浙江省实证考察
第一节 导论
第二节 区域中小企业创新网络及其基本形式
第三节 浙江省中小企业创新网络的分布与形成
第四节 浙江省典型中小企业创新网络的结构属性分析
第五节 主要研究结论与政策建议

第七章  区域中小企业创新网络的节点联结及其效率评价
第一节  问题的提出
第二节  创新网络的基本概念
第三节  区域中小企业创新网络的联结类型
第四节  区域中小企业创新网络的节点联结强度及其效率评价：浙江省实证
第五节  主要结论

第八章  外部节点、内部资源与企业创新绩效的关系研究：以长三角地区199家科技服务企业为实证
第一节 服务业创新的概念
第二节 外部节点对服务业创新影响的相关假设研究
第三节 数据收集与模型验证
第四节 结论

第九章  网络关系强度、企业学习能力对技术创新的影响
第一节 理论背景与研究假设
第二节 研究方法
第三节 分析与结果
第四节 研究结论及启示

第十章  网络密度、知识流入对企业管理创新的影响
第一节 引言
第二节 理论基础和研究假设
第三节 研究方法
第四节 研究结果
第五节 结论与讨论

第十一章  企业创业导向促进创业绩效提升了吗?--一项Meta分析检验
第一节 引言
第二节 理论分析和研究假设
第三节 研究方法及数据分析
第四节 实证分析
第五节 研究结论及展望

第十二章  不同技术创新投入结构下的企业成长性分析：以浙江省高新技术企业为例
第一节  高新技术企业成长性评价
第二节  企业技术创新投入结构
第三节  技术创新投入结构与成长性的相关性统计检验
第四节结论及建议

第十三章  新产品开发的自主创新管理模式探讨
第一节  理论综述
第二节  样本与数据分析
第三节  自主创新管理模式的构建
第四节  自主创新管理模式对新产品开发的影响研究
第五节  结论

第十四章  中小企业政策的演变特征与前沿研究
第一节  调查研究方法与样本说明
第二节  中小企业政策演变的规律分析
第三节  现阶段各国中小企业政策的分布特征与政策前沿
第四节  结论

第十五章  地区中小企业服务体系比较研究·
第一节  导论
第二节  中小企业服务体系的指标构成
第三节  实证分析
第四节  结论

第十六章  海峡两岸中小企业发展比较研究
第一节  引言
第二节  中国台湾中小企业的地位与作用
第三节  两岸中小企业发展比较
第四节  中国台湾中小企业发展对大陆的启示

第二篇  我国转型期中小企业发展若干应用对策
第十七章 我国小微企业面临"四贵三难"的严峻困境及对策
第一节 我国小微企业生产经营出现"四贵三难"严峻困境
第二节 加大税收优惠是小微企业当前最佳政策选择
第三节 实现国家"抓大放小"向"抓大扶小"战略思路转型
第四节 内外兼治、加速立法、多措并举、综合治理

第十八章  我国小微企业扶持政策效果及相关对策建议
第一节  小微企业扶持政策的实施效果评价
